candidate_id,candidate_name,congbio_id,congbio_name,congbio_birthyear,congbio_deathyear,congbio_url
BE0007,"Burgess, Ellis",NA,NA,NA,NA,NA
BE0008,"Bragdon, Elihu",NA,NA,NA,NA,NA
BE0010,"Bradford, Enoch W.",NA,NA,NA,NA,NA
BE0016,"Buxton, Edmund",NA,NA,NA,NA,NA
BE0019,NA,B000577,"Boardman, Elijah",1760,1823,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000577
BE0023,"Burrows, Enoch",NA,NA,NA,NA,NA
BE0028,"Bacon, Ebenezer",NA,NA,NA,NA,NA
BE0030,"Barnes, Edward",NA,NA,NA,NA,NA
BE0031,"Brooks, Eleazer",NA,NA,NA,NA,NA
BE0033,"Bacon, Ezekiel",NA,NA,NA,NA,NA
BE0038,"Barnard, Elijah",NA,NA,NA,NA,NA
BE0039,"Bradford, Ebenezer",NA,NA,NA,NA,NA
BE0040,"Barns, Edward",NA,NA,NA,NA,NA
BE0041,"Bacon, Edward",NA,NA,NA,NA,NA
BE0063,"Bullock, Edmund",NA,NA,NA,NA,NA
BE0103,"Brigham, Elijah",B000833,"Brigham, Elijah",1751,1816,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000833
