congbio_id,candidate_id,congbio_name,congbio_birthyear,congbio_deathyear,congbio_url
B000947,BW0191,"Brown, William",1779,1833,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000947
B000970,BP0030,"Bruce, Phineas",1762,1809,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000970
B000983,BH0091,"Brush, Henry",1778,1855,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000983
B000986,BH0168,"Bryan, Henry Hunter",1786,1835,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000986
B000988,BJ0862,"Bryan, John Heritage",1798,1870,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000988
B000989,BJ0111,"Bryan, Joseph",1773,1812,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000989
B000990,BJ0827,"Bryan, Joseph Hunter",1782,1839,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000990
B000991,BN0074,"Bryan, Nathan",1748,1798,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000991
B001005,BJ1089,"Buchanan, James",1791,1868,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001005
B001014,BD0212,"Buck, Daniel",1753,1816,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001014
B001015,BD0173,"Buck, Daniel Azro Ashley",1789,1841,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001015
B001033,BR0028,"Buckner, Richard Aylett",1763,1847,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001033
B001042,BJ1269,"Buffum, Joseph, Jr.",1784,1874,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001042
B001051,BW0058,"Bulloch, William Bellinger",1777,1852,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001051
B001053,BS0112,"Bullock, Stephen",1735,1816,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001053
B001054,BW0099,"Bullock, Wingfield",NA,1821,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001054
B001081,BD0099,"Burges, Dempsey",1751,1800,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001081
B001082,BT0010,"Burges, Tristam",1770,1853,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001082
B001086,BA0012,"Burke, Aedanus",1743,1802,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001086
B001109,BW0280,"Burleigh, William",1785,1827,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001109
B001132,BT0273,"Burnside, Thomas",1782,1851,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001132
B001133,BA0134,"Burr, Aaron",1756,1836,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001133
B001137,BJ1312,"Burrill, James, Jr.",1772,1820,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001137
B001140,BD0248,"Burrows, Daniel",1766,1858,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001140
B001152,BH0084,"Burton, Hutchins Gordon",1782,1836,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001152
B001160,BW0451,"Burwell, William Armisted",1780,1821,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001160
B001176,BE0213,"Butler, Ezra",1763,1838,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001176
B001181,BJ0582,"Butler, Josiah",1779,1854,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001181
B001186,BP0091,"Butler, Pierce",1744,1822,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001186
B001190,BT0030,"Butler, Thomas",1785,1847,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001190
B001194,BW0365,"Butler, William",1759,1821,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001194
C000005,CS0229,"Cabell, Samuel Jordan",1756,1818,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000005
C000009,CG0068,"Cabot, George",1752,1823,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000009
C000012,CL0010,"Cadwalader, Lambert",1742,1823,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000012
C000014,CD0112,"Cady, Daniel",1773,1859,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000014
C000015,CJ0528,"Cady, John Watts",1790,1854,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000015
C000033,CJ0045,"Caldwell, James",1770,1838,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000033
C000044,CJ1014,"Calhoun, John Caldwell",1782,1850,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000044
C000045,CJ1013,"Calhoun, Joseph",1750,1817,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000045
C000049,CJ0160,"Call, Jacob",NA,1826,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000049
C000061,CC0075,"Cambreleng, Churchill Caldom",1786,1862,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000061
C000076,CA0083,"Campbell, Alexander",1779,1857,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000076
C000083,CG0108,"Campbell, George Washington",1769,1848,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000083
C000091,CJ0207,"Campbell, John",1765,1828,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000091
C000095,CJ0622,"Campbell, John Wilson",1782,1833,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000095
C000098,CR0162,"Campbell, Robert Blair",NA,1862,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000098
C000099,CS0136,"Campbell, Samuel",1773,1853,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000099
C000123,CN0037,"Cannon, Newton",1781,1841,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000123
C000131,CH0072,"Caperton, Hugh",1781,1847,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000131
C000148,CP0071,"Carleton, Peter",1755,1828,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000148
C000163,CT0042,"Carnes, Thomas Petters",1762,1822,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000163
C000175,CF0012,"Carr, Francis",1751,1821,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000175
C000176,CJ0285,"Carr, James",1777,1818,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000176
C000185,CC0012,"Carroll, Charles (Of Carrollton)",1737,1832,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000185
C000187,CD0030,"Carroll, Daniel",1730,1796,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000187
C000193,CS0161,"Carson, Samuel Price",1798,1838,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000193
C000197,CJ0030,"Carter, John",1792,1850,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000197
C000212,CG0025,"Cary, George",1789,1843,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000212
C000222,CW0169,"Case, Walter",1776,1859,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000222
C000226,CL0065,"Casey, Levi",1752,1807,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000226
C000234,CG0110,"Cassedy, George",1783,1842,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000234
C000279,CJ0381,"Chamberlain, John Curtis",1772,1834,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000279
C000280,CW0352,"Chamberlain, William",1755,1828,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000280
C000281,CD0147,"Chambers, David",1780,1864,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000281
C000282,CE0066,"Chambers, Ezekiel Forman",1788,1867,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000282
C000284,CH0000,"Chambers, Henry H.",1790,1826,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000284
C000288,CE0020,"Champion, Epaphroditus",1756,1834,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000288
